Semester;Course Code;Course Title;ECTS Credits;GTU Credits;H+T+L
1;XXX XXX;Teknik Olmayan Seçmeli (SSC);2;1;2+0+0
4;CSE 234;Logic Circuits And Design Laboratory;2;1;0+0+2
8;CSE 4XX;Bölüm Seçmeli (Temel Alan) Seçmeli II;6;3;3+0+0
7;XXX XXX;Teknik Olmayan Seçmeli (SSB);3;2;2+0+0
3;XXX XXX;Teknik Olmayan Seçmeli (SSB);3;2;2+0+0
1;CSE 101;Introduction To Computer Engineering;8;3;3+0+0
4;XXX XXX;Teknik Olmayan Seçmeli (SSB);3;2;2+0+0
7;CSE 495;Graduation Project I;6;1;4+0+0
8;XXX XXX;Teknik Olmayan Seçmeli (SSA);3;2;2+0+0
1;CSE 107;Introduction To Computer Science Laboratory;2;1;0+0+2
2;CSE 108;Computer Programming Laboratory;2;1;0+0+2
3;CSE 211;Discrete Mathematics;6;3;3+0+0
2;SSTR 102;Principles Of Atatürk And The History Of Turkish Revolution II;2;2;2+0+0
1;MATH 101;Calculus I;7;5;5+0+0
5;XXX XXX;Teknik Olmayan Seçmeli (SSA);3;2;2+0+0
6;MATH 118;Probability and Statistics;6;3;3+0+0
